Player,G,TGT,REC,REC_YDS,REC_TD,LG,20+,RUSH_ATT,RUSH_YDS,RUSH_TD,FPTS
Demaryius Thomas,17,148,89,1006,6,355,15,0,0,0,134.60000000000002
Emmanuel Sanders,12,92,47,555,2,258,11,0,0,0,67.5
Bennie Fowler,16,62,33,406,3,214,6,0,0,0,58.599999999999994
A.J. Derby,12,44,22,253,2,133,3,0,0,0,35.300000000000004
C.J. Anderson,17,41,28,224,1,261,7,263,1068,3,153.2
Devontae Booker,14,39,31,300,0,129,1,82,320,1,65.99999999999999
Cody Latimer,11,31,19,287,2,167,6,0,0,0,42.7
Jordan Taylor,11,28,19,207,0,122,3,0,0,0,20.7
Jeff Heuerman,11,20,10,151,2,140,2,0,0,0,27.099999999999998
Isaiah McKenzie,12,16,5,36,0,36,0,1,4,0,-2.220446049250313e-16
Austin Traylor,5,13,8,100,0,71,1,0,0,0,10.0
Andy Janovich,12,6,4,35,0,13,0,6,12,1,10.7
De'Angelo Henderson,4,3,3,65,2,11,0,12,28,0,21.3
