Player,G,TGT,REC,REC_YDS,REC_TD,LG,20+,RUSH_ATT,RUSH_YDS,RUSH_TD,FPTS
Larry Fitzgerald,17,174,117,1211,6,354,16,0,0,0,157.89999999999998
Jaron Brown,17,74,32,502,5,325,13,0,0,0,80.19999999999999
J.J. Nelson,17,62,30,522,2,309,6,3,37,0,65.9
Andre Ellington,12,60,39,369,0,36,0,20,55,1,48.400000000000006
John Brown,11,59,21,299,3,174,2,1,10,0,48.900000000000006
Jermaine Gresham,15,49,36,346,2,204,3,0,0,0,46.6
Ricky Seals-Jones,9,29,12,201,3,111,5,0,0,0,20.700000000000003
Troy Niklas,12,24,11,132,1,97,1,0,0,0,19.199999999999996
David Johnson,1,9,6,68,0,6,0,11,23,0,7.1
Chad Williams,5,7,3,31,0,31,0,2,33,0,6.3999999999999995
Elijhaa Penny,11,7,4,38,0,56,0,39,163,3,38.1
Gabe Holmes,1,1,0,0,0,0,0,0,0,0,0.0
